timestamp,event_type,data
"2025-04-21T15:35:02.048Z","xhr","{""method"":""POST"",""url"":""https://adapi.geeksforgeeks.org/analytics/auctionendresponse/""}"
"2025-04-21T15:35:02.172Z","xhr","{""method"":""GET"",""url"":""https://ep1.adtrafficquality.google/getconfig/sodar?sv=200&tid=gpt&tv=m202504160101&st=env""}"
"2025-04-21T15:35:02.209Z","fetch","{""url"":""https://securepubads.g.doubleclick.net/gampad/ads?pvsid=799061844356444&correlator=1374443269868151&eid=31091590%2C31091856%2C83321073%2C95347484%2C95340253%2C95340255&output=ldjh&gdfp_req=1&vrg=202504160101&ptt=17&impl=fifs&gdpr=0&us_privacy=1---&gpp_sid=-1&iu_parts=27823234%2Cgfg_desktop_incontent_300x250_la%2CGFG_Desktop_RightSideBar_BTF_Sticky_300x250%2C22683361281%2Cbottomsticky_direct_728x90&enc_prev_ius=%2F0%2F1%2C%2F0%2F2%2C%2F0%2F3%2C%2F0%2F4&prev_iu_szs=300x250%2C300x250%7C320x180%7C300x50%7C300x100%7C180x150%7C300x600%7C160x600%7C120x600%2C300x600%7C160x600%7C120x600%7C300x250%7C300x50%7C300x100%7C250x250%7C180x150%2C728x90&ifi=1&didk=934625752~2273860076~210386275~2015198361&dids=GFG_AD_Desktop_InContent_ATF_3~GFG_AD_Desktop_RightSideBar_BT~GFG_AD_Desktop_RightSideBar_BT~GFG_AD_Desktop_Stickyunit_1x1&adfs=2158553721~2960152695~1589658670~355499346&sfv=1-0-41&eri=1&sc=1&cookie_enabled=1&abxe=1&dt=1745249702184&lmt=1745249702&adxs=283%2C705%2C705%2C-12245933&adys=2130%2C1277%2C1287%2C-12245933&biw=1022&bih=507&scr_x=0&scr_y=967&btvi=1%7C0%7C0%7C-1&ucis=1%7C2%7C3%7C4&oid=2&u_his=2&u_h=720&u_w=1280&u_ah=672&u_aw=1280&u_cd=24&u_sd=2&u_tz=330&dmc=8&bc=31&nvt=1&uach=WyJXaW5kb3dzIiwiMTkuMC4wIiwieDg2IiwiIiwiMTM1LjAuNzA0OS45NiIsbnVsbCwwLG51bGwsIjY0IixbWyJHb29nbGUgQ2hyb21lIiwiMTM1LjAuNzA0OS45NiJdLFsiTm90LUEuQnJhbmQiLCI4LjAuMC4wIl0sWyJDaHJvbWl1bSIsIjEzNS4wLjcwNDkuOTYiXV0sMF0.&url=https%3A%2F%2Fwww.geeksforgeeks.org%2Fruntime-environments-in-compiler-design%2F&vis=1&psz=422x0%7C300x10%7C300x10%7C1022x12413&msz=300x-1%7C300x-1%7C300x-1%7C1022x-1&fws=4%2C516%2C516%2C644&ohw=300%2C300%2C300%2C1022&topics=1&tps=1&htps=10&a3p=ElYKDGlkNS1zeW5jLmNvbRJESUQ1KkdwUVh1NFJkRzFPZFFwYkJSQy1OQjYwUm1zbk5RMUdhUFZNTXB3OUVXSUlRdWxFME5CMU9XMkNfZlJDZXJvRUxYAQ..&nt=1&psd=WzMxLFtdLG51bGwsM10.&dlt=1745249689103&idt=1808&prev_scp=%7Camznbid%3D1%26amznp%3D1%7Camznbid%3D1%26amznp%3D1%7C&cust_params=gfg_categories%3DGATE_2025_TS_CS%26gender%3Dnot_set%26user_type%3Dnot_set%26qualification%3Dnot_set%26grad_year%3Dnot_set%26current_salary%3Dnot_set%26experimentKey%3DNO-RUNNING-EXPERIMENTS&adks=4121220747%2C1969777795%2C603901270%2C695794256&frm=20&eoidce=1&gblpids=~%2F27823234%2FGFG_Desktop_RightSideBar_BTF_Sticky_300x250~%2F27823234%2F22683361281~&pbbce=1&td=1&egid=54527&tan=6953f480-ac7b-48c1-8f2f-3430f7ddcc08%2C6953f480-ac7b-48c1-8f2f-3430f7ddcc09%2C6953f480-ac7b-48c1-8f2f-3430f7ddcc0a%2C6953f480-ac7b-48c1-8f2f-3430f7ddcc0b&tdf=2""}"
"2025-04-21T15:35:02.758Z","fetch","{""url"":""https://analytics.google.com/g/collect?v=2&tid=G-DWCCJLKX3X&gtm=45je54g3v884918195z8858768136za200&_p=1745249690646&gcs=G1--&gcd=13l3l3R3l5l1&npa=0&dma=0&tcfd=10000&tag_exp=102803279~102813109~102887800~102926062~103027016~103051953~103055465~103077950~103106314~103106316&cid=345883849.1745249691&ul=en-us&sr=1280x720&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B135.0.7049.96%7CNot-A.Brand%3B8.0.0.0%7CChromium%3B135.0.7049.96&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&_eu=AAAAAAI&sid=1745249691&sct=1&seg=0&dl=https%3A%2F%2Fwww.geeksforgeeks.org%2Fruntime-environments-in-compiler-design%2F&dt=Runtime%20Environments%20in%20Compiler%20Design%20%7C%20GeeksforGeeks&_s=2&tfd=13760""}"
"2025-04-21T15:35:02.978Z","click","{""tag"":""A"",""id"":"""",""classes"":"""",""text"":""Linker""}"
"2025-04-21T15:35:03.004Z","fetch","{""url"":""https://analytics.google.com/g/collect?v=2&tid=G-DWCCJLKX3X&gtm=45je54g3v884918195za200&_p=1745249690646&gcs=G1--&gcd=13l3l3R3l5l1&npa=0&dma=0&tcfd=10000&tag_exp=102803279~102813109~102887800~102926062~103027016~103051953~103055465~103077950~103106314~103106316&cid=345883849.1745249691&ul=en-us&sr=1280x720&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B135.0.7049.96%7CNot-A.Brand%3B8.0.0.0%7CChromium%3B135.0.7049.96&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&_eu=AEIAAAI&_s=3&sid=1745249691&sct=1&seg=0&dl=https%3A%2F%2Fwww.geeksforgeeks.org%2Fruntime-environments-in-compiler-design%2F&dt=Runtime%20Environments%20in%20Compiler%20Design%20%7C%20GeeksforGeeks&en=ad_impression&ep.query_id=CKeT9uO56YwDFQWfrAIdGxw8sg&_et=1058&tfd=14006""}"

Test Outcome: Passed
