timestamp,event_type,data
"2025-04-20T02:59:45.304Z","fetch","{""url"":{}}"
"2025-04-20T02:59:45.305Z","click","{""tag"":""A"",""id"":""endpoint"",""classes"":""yt-simple-endpoint style-scope ytd-mini-guide-entry-renderer"",""text"":""Shorts""}"
"2025-04-20T02:59:46.825Z","fetch","{""url"":{}}"
"2025-04-20T02:59:46.826Z","fetch","{""url"":{}}"
"2025-04-20T02:59:46.828Z","fetch","{""url"":{}}"
"2025-04-20T02:59:47.299Z","fetch","{""url"":{}}"
"2025-04-20T02:59:47.320Z","xhr","{""method"":""POST"",""url"":""/youtubei/v1/account/get_setting_values?prettyPrint=false""}"
"2025-04-20T02:59:47.412Z","xhr","{""method"":""GET"",""url"":""https://www.youtube.com/api/timedtext?v=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&caps=asr&opi=112496729&xoaf=5&xosf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1745143187&sparams=ip%2Cipbits%2Cexpire%2Cv%2Cei%2Ccaps%2Copi%2Cxoaf&signature=BF9421337DB334DE9505628738E529F6169462BC.C8022F23601D545DC68D720BA41DC8B601E2DE67&key=yt8&kind=asr&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP""}"
"2025-04-20T02:59:47.514Z","xhr","{""method"":""GET"",""url"":""https://www.youtube.com/api/timedtext?v=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&caps=asr&opi=112496729&xoaf=5&xosf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1745143187&sparams=ip%2Cipbits%2Cexpire%2Cv%2Cei%2Ccaps%2Copi%2Cxoaf&signature=BF9421337DB334DE9505628738E529F6169462BC.C8022F23601D545DC68D720BA41DC8B601E2DE67&key=yt8&kind=asr&lang=en&fmt=json3&xorb=2&xobt=3&xovt=3&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP""}"
"2025-04-20T02:59:47.529Z","fetch","{""url"":""//www.youtube.com/api/stats/qoe?fmt=397&afmt=251&cpn=9FRX99hZP3-jxR0-&el=shortspage&ns=yt&fexp=v1%2C23986033%2C18611%2C434717%2C127326%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1562%2C8949%2C9224%2C13982%2C7703%2C2821%2C1396%2C3259%2C2%2C1900%2C2624%2C3296%2C10509%2C293%2C2596%2C69%2C4462%2C3264%2C5183%2C757%2C111%2C814%2C1152%2C3466%2C935%2C1513%2C3056%2C486%2C2634%2C2699%2C454%2C1839%2C1319%2C1205%2C573%2C1911%2C770%2C87&cl=748101193&seq=1&docid=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&event=streamingstats&plid=AAYzLPG-J8w5lFET&sdetail=p%3A%2F&sourceid=y&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&vps=0.000:N,0.065:B,0.266:B,0.266:B&cat=streaming,sabr&ctmp=esfw:usbc.1;hsu.1&cmt=0.065:0.000,0.266:0.000&cfs=0.153:a.en:::s&afs=0.253:251;CggKA2RyYxIBMQ::i:CAEoAQ&vfs=0.266:397:788::r:CAEoAQ&view=0.266:231:411:2&bwm=0.266:34506:0.225&bwe=0.266:655360&bat=0.266:0.29:1&vis=0.266:3&bh=0.266:0.000&qclc=ChA5RlJYOTloWlAzLWp4UjAtEAEaDENnSUlEQSUzRCUzRA""}"
"2025-04-20T02:59:47.746Z","xhr","{""method"":""POST"",""url"":""/youtubei/v1/log_event?alt=json""}"
"2025-04-20T02:59:55.808Z","scroll","{""scrollY"":8}"
"2025-04-20T02:59:56.331Z","xhr","{""method"":""GET"",""url"":""//www.youtube.com/api/stats/playback?ns=yt&el=shortspage&cpn=9FRX99hZP3-jxR0-&ver=2&cmt=0.009&fmt=397&fs=0&rt=9.071&euri=https%3A%2F%2Fwww.youtube.com%2Fshorts%2FkDwBRM28JDY&lact=10575&cl=748101193&mos=0&volume=100&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&delay=4&hl=en_US&cr=IN&len=11.821&fexp=v1%2C23986033%2C18611%2C434717%2C127326%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1562%2C8949%2C9224%2C13982%2C7703%2C2821%2C1396%2C3259%2C2%2C1900%2C2624%2C3296%2C10509%2C293%2C2596%2C69%2C4462%2C3264%2C5183%2C757%2C111%2C814%2C1152%2C3466%2C935%2C1513%2C3056%2C486%2C2634%2C2699%2C454%2C1839%2C1319%2C1205%2C573%2C1911%2C770%2C87&rtn=19&afmt=251&muted=0&cc=a.en&docid=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&plid=AAYzLPG-J8w5lFET&referrer=https%3A%2F%2Fwww.youtube.com%2F&sdetail=p%3A%2F&sourceid=y&of=_qCnwGk-KWlmu42OAuiBCg&vm=CAEQABgEOjJBSHFpSlRKNUkteFp4RzZyY1NEbUp6akhWV0FOOEVyNGQ0dkFhZi1vc2cxYkQxNkp6Z2JTQUZVQTZSU3F5SkJTM1RMVE5yd1dPaE4wUVk1R1RRa0lYZjQwZUZEQWsxTzhpTTFBMG1LRkJGN1hLMTNOTHFleGpneC1SZkswbTdNcjFYSHNVLTA""}"
"2025-04-20T02:59:56.332Z","fetch","{""url"":""https://www.youtube.com/ptracking?html5=1&video_id=kDwBRM28JDY&cpn=9FRX99hZP3-jxR0-&ei=I2MEaP6gJM7KssUPueOvwAc&ptk=youtube_none&pltype=contentugc""}"
"2025-04-20T02:59:56.361Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/home_cairo/v2/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_cairo/v2/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/youtube_shorts_arrow_up/v1/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/youtube_shorts_arrow_down/v1/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_message_bubble_right/v2/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_share/v2/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_thumb_up/v2/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_thumb_down/v2/24px.svg""}"
"2025-04-20T02:59:56.362Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/thumb_down/v19/24px.svg""}"
"2025-04-20T02:59:56.363Z","fetch","{""url"":""https://www.gstatic.com/youtube/img/icons/web/youtube_fill/shorts-pause/v1/24px.svg""}"
"2025-04-20T02:59:56.363Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/volume_on/v3/24px.svg""}"
"2025-04-20T02:59:56.363Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/screen_full/v7/24px.svg""}"
"2025-04-20T02:59:56.363Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/play_arrow/v7/24px.svg""}"
"2025-04-20T02:59:56.363Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/menu_sort/v4/24px.svg""}"
"2025-04-20T02:59:56.363Z","fetch","{""url"":""https://www.gstatic.com/youtube/img/icons/web/youtube_outline/music/v1/24px.svg""}"
"2025-04-20T02:59:57.273Z","fetch","{""url"":""//www.youtube.com/api/stats/qoe?fmt=397&afmt=251&cpn=9FRX99hZP3-jxR0-&el=shortspage&ns=yt&fexp=v1%2C23986033%2C18611%2C434717%2C127326%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1562%2C8949%2C9224%2C13982%2C7703%2C2821%2C1396%2C3259%2C2%2C1900%2C2624%2C3296%2C10509%2C293%2C2596%2C69%2C4462%2C3264%2C5183%2C757%2C111%2C814%2C1152%2C3466%2C935%2C1513%2C3056%2C486%2C2634%2C2699%2C454%2C1839%2C1319%2C1205%2C573%2C1911%2C770%2C87&cl=748101193&seq=2&docid=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&event=streamingstats&plid=AAYzLPG-J8w5lFET&sdetail=p%3A%2F&sourceid=y&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&bwm=8.527:849948:0.673&bwe=8.527:1901918,8.527:1901918,10.013:1901918&bat=8.527:0.29:1,8.527:0.29:1,10.013:0.29:1&vis=8.527:0&cmt=8.527:0.000,8.527:0.000,9.069:0.009,9.820:0.760,10.013:0.954&bh=8.527:0.000,8.527:0.000,9.069:11.800,10.013:11.800&user_intent=8.527&vps=9.069:PL,10.013:PL&df=10.013:0&qclc=ChA5RlJYOTloWlAzLWp4UjAtEAIaDENnSUlEQSUzRCUzRA""}"
"2025-04-20T02:59:57.328Z","fetch","{""url"":{}}"
"2025-04-20T02:59:57.328Z","fetch","{""url"":{}}"
"2025-04-20T02:59:57.350Z","xhr","{""method"":""POST"",""url"":""/api/stats/atr?ns=yt&el=shortspage&cpn=9FRX99hZP3-jxR0-&ver=2&cmt=1.024&fmt=397&fs=0&rt=10.083&euri=https%3A%2F%2Fwww.youtube.com%2Fshorts%2FkDwBRM28JDY&lact=334&cl=748101193&mos=0&volume=100&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&delay=4&hl=en_US&cr=IN&len=11.821&fexp=v1%2C23986033%2C18611%2C434717%2C127326%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1562%2C8949%2C9224%2C13982%2C7703%2C2821%2C1396%2C3259%2C2%2C1900%2C2624%2C3296%2C10509%2C293%2C2596%2C69%2C4462%2C3264%2C5183%2C757%2C111%2C814%2C1152%2C3466%2C935%2C1513%2C3056%2C486%2C2634%2C2699%2C454%2C1839%2C1319%2C1205%2C573%2C1911%2C770%2C87&afmt=251&muted=0&cc=a.en&docid=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&plid=AAYzLPG-J8w5lFET&vm=CAEQABgEOjJBSHFpSlRKNUkteFp4RzZyY1NEbUp6akhWV0FOOEVyNGQ0dkFhZi1vc2cxYkQxNkp6Z2JTQUZVQTZSU3F5SkJTM1RMVE5yd1dPaE4wUVk1R1RRa0lYZjQwZUZEQWsxTzhpTTFBMG1LRkJGN1hLMTNOTHFleGpneC1SZkswbTdNcjFYSHNVLTA""}"
"2025-04-20T02:59:57.580Z","xhr","{""method"":""GET"",""url"":""//www.youtube.com/api/stats/watchtime?ns=yt&el=shortspage&cpn=9FRX99hZP3-jxR0-&ver=2&cmt=0&fmt=397&fs=0&rt=10.321&euri=https%3A%2F%2Fwww.youtube.com%2Fshorts%2FkDwBRM28JDY&lact=572&cl=748101193&state=paused&volume=100&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&delay=4&hl=en_US&cr=IN&len=11.821&afmt=251&idpj=-1&ldpj=-1&rti=19&st=0&et=1.229&muted=0&cc=a.en&docid=kDwBRM28JDY&ei=I2MEaP6gJM7KssUPueOvwAc&plid=AAYzLPG-J8w5lFET&referrer=https%3A%2F%2Fwww.youtube.com%2F&sdetail=p%3A%2F&sourceid=y&of=_qCnwGk-KWlmu42OAuiBCg&vm=CAEQABgEOjJBSHFpSlRKNUkteFp4RzZyY1NEbUp6akhWV0FOOEVyNGQ0dkFhZi1vc2cxYkQxNkp6Z2JTQUZVQTZSU3F5SkJTM1RMVE5yd1dPaE4wUVk1R1RRa0lYZjQwZUZEQWsxTzhpTTFBMG1LRkJGN1hLMTNOTHFleGpneC1SZkswbTdNcjFYSHNVLTA""}"
