timestamp,event_type,data
"2025-04-21T15:46:08.968Z","xhr","{""method"":""POST"",""url"":""https://r.clarity.ms/collect""}"
"2025-04-21T15:46:11.833Z","scroll","{""scrollY"":110}"
"2025-04-21T15:46:11.850Z","scroll","{""scrollY"":201}"
"2025-04-21T15:46:11.867Z","scroll","{""scrollY"":322}"
"2025-04-21T15:46:11.884Z","scroll","{""scrollY"":328}"
"2025-04-21T15:46:11.899Z","scroll","{""scrollY"":436}"
"2025-04-21T15:46:11.916Z","scroll","{""scrollY"":517}"
"2025-04-21T15:46:11.933Z","scroll","{""scrollY"":577}"
"2025-04-21T15:46:11.949Z","scroll","{""scrollY"":635}"
"2025-04-21T15:46:11.966Z","scroll","{""scrollY"":688}"
"2025-04-21T15:46:11.983Z","scroll","{""scrollY"":739}"
"2025-04-21T15:46:12.000Z","scroll","{""scrollY"":787}"
"2025-04-21T15:46:12.016Z","scroll","{""scrollY"":832}"
"2025-04-21T15:46:12.032Z","scroll","{""scrollY"":875}"
"2025-04-21T15:46:12.122Z","scroll","{""scrollY"":1073}"
"2025-04-21T15:46:12.169Z","scroll","{""scrollY"":1093}"
"2025-04-21T15:46:12.187Z","scroll","{""scrollY"":1182}"
"2025-04-21T15:46:12.202Z","scroll","{""scrollY"":1210}"
"2025-04-21T15:46:12.218Z","scroll","{""scrollY"":1234}"
"2025-04-21T15:46:12.234Z","scroll","{""scrollY"":1259}"
"2025-04-21T15:46:12.250Z","scroll","{""scrollY"":1283}"
"2025-04-21T15:46:12.272Z","scroll","{""scrollY"":1305}"
"2025-04-21T15:46:12.283Z","scroll","{""scrollY"":1327}"
"2025-04-21T15:46:12.301Z","scroll","{""scrollY"":1349}"
"2025-04-21T15:46:12.317Z","scroll","{""scrollY"":1369}"
"2025-04-21T15:46:12.335Z","scroll","{""scrollY"":1388}"
"2025-04-21T15:46:12.351Z","scroll","{""scrollY"":1407}"
"2025-04-21T15:46:12.368Z","scroll","{""scrollY"":1425}"
"2025-04-21T15:46:12.386Z","scroll","{""scrollY"":1442}"
"2025-04-21T15:46:12.400Z","scroll","{""scrollY"":1459}"
"2025-04-21T15:46:12.418Z","scroll","{""scrollY"":1475}"
"2025-04-21T15:46:12.435Z","scroll","{""scrollY"":1491}"
"2025-04-21T15:46:12.451Z","scroll","{""scrollY"":1505}"
"2025-04-21T15:46:12.468Z","scroll","{""scrollY"":1519}"
"2025-04-21T15:46:12.484Z","scroll","{""scrollY"":1533}"
"2025-04-21T15:46:12.501Z","scroll","{""scrollY"":1547}"
"2025-04-21T15:46:12.518Z","scroll","{""scrollY"":1559}"
"2025-04-21T15:46:12.534Z","scroll","{""scrollY"":1571}"
"2025-04-21T15:46:12.551Z","scroll","{""scrollY"":1583}"
"2025-04-21T15:46:12.568Z","scroll","{""scrollY"":1595}"
"2025-04-21T15:46:12.584Z","scroll","{""scrollY"":1606}"
"2025-04-21T15:46:12.977Z","xhr","{""method"":""POST"",""url"":""https://r.clarity.ms/collect""}"
"2025-04-21T15:46:13.551Z","xhr","{""method"":""POST"",""url"":""https://px.ads.linkedin.com/wa/""}"
"2025-04-21T15:46:13.807Z","click","{""tag"":""BUTTON"",""id"":"""",""classes"":""ui button ibmCertificateOverview_added_button__dLgZ9"",""text"":""Addedx""}"
"2025-04-21T15:46:17.590Z","keydown","{""key"":""Alt"",""code"":""AltLeft""}"
"2025-04-21T15:46:17.663Z","fetch","{""url"":""https://analytics.google.com/g/collect?v=2&tid=G-SZ454CLTZM&gtm=45je54g3v885296220z8838943698za200&_p=1745250353178&gcs=G111&gcd=13t3t3Z3t5l1&npa=0&dma=0&tag_exp=102015666~102803279~102813109~102887800~102926062~103027016~103051953~103055465~103077950~103106314~103106316&cid=1503901319.1745250340&ecid=1794030668&ul=en-us&sr=1280x720&uaa=x86&uab=64&uafvl=Google%2520Chrome%3B135.0.7049.96%7CNot-A.Brand%3B8.0.0.0%7CChromium%3B135.0.7049.96&uamb=0&uam=&uap=Windows&uapv=19.0.0&uaw=0&are=1&pae=1&frm=0&pscdl=noapi&_eu=AAAAAAI&_s=2&sid=1745250356&sct=1&seg=0&dl=https%3A%2F%2Fwww.geeksforgeeks.org%2Fcourses%2Fdata-science-classroom-program&dr=https%3A%2F%2Fwww.geeksforgeeks.org%2Fruntime-environments-in-compiler-design%2F&dt=Data%20Science%20Classroom%20Program&_tu=CA&en=scroll_25&_et=2739&tfd=28927""}"
"2025-04-21T15:46:18.099Z","xhr","{""method"":""POST"",""url"":""https://r.clarity.ms/collect""}"
"2025-04-21T15:46:20.186Z","keydown","{""key"":""Alt"",""code"":""AltLeft""}"

Test Outcome: Partially Passed
