timestamp,event_type,data
"2025-04-20T04:27:20.620Z","keydown","{""key"":""Alt"",""code"":""AltLeft""}"
"2025-04-20T04:27:48.487Z","keydown","{""key"":""Alt"",""code"":""AltLeft""}"
"2025-04-20T04:27:59.662Z","click","{""tag"":""DIV"",""id"":""contentContainer"",""classes"":""style-scope tp-yt-app-drawer"",""text"":""""}"
"2025-04-20T04:28:00.337Z","click","{""tag"":""DIV"",""id"":""contentContainer"",""classes"":""style-scope tp-yt-app-drawer"",""text"":""""}"
"2025-04-20T04:28:01.057Z","fetch","{""url"":{}}"
"2025-04-20T04:28:01.057Z","click","{""tag"":""DIV"",""id"":"""",""classes"":"""",""text"":""""}"
"2025-04-20T04:28:02.720Z","fetch","{""url"":{}}"
"2025-04-20T04:28:02.721Z","fetch","{""url"":{}}"
"2025-04-20T04:28:02.721Z","fetch","{""url"":{}}"
"2025-04-20T04:28:02.779Z","xhr","{""method"":""POST"",""url"":""/youtubei/v1/log_event?alt=json""}"
"2025-04-20T04:28:02.887Z","fetch","{""url"":{}}"
"2025-04-20T04:28:02.894Z","xhr","{""method"":""POST"",""url"":""/youtubei/v1/account/get_setting_values?prettyPrint=false""}"
"2025-04-20T04:28:02.935Z","xhr","{""method"":""GET"",""url"":""https://www.youtube.com/api/timedtext?v=kRbITY2ub1Q&ei=03cEaOKvGpGNg8UP3tmy6Ac&caps=asr&opi=112496729&xoaf=5&xosf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1745148483&sparams=ip%2Cipbits%2Cexpire%2Cv%2Cei%2Ccaps%2Copi%2Cxoaf&signature=68E7E4BA3CA3102B8D9E342B40F03FF1BDED377C.A7382123689ECCCB03F10E01E2A160A8F3B60B39&key=yt8&kind=asr&lang=vi&fmt=json3&xorb=2&xobt=3&xovt=3&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP""}"
"2025-04-20T04:28:02.942Z","xhr","{""method"":""GET"",""url"":""https://www.youtube.com/api/timedtext?v=kRbITY2ub1Q&ei=03cEaOKvGpGNg8UP3tmy6Ac&caps=asr&opi=112496729&xoaf=5&xosf=1&hl=en&ip=0.0.0.0&ipbits=0&expire=1745148483&sparams=ip%2Cipbits%2Cexpire%2Cv%2Cei%2Ccaps%2Copi%2Cxoaf&signature=68E7E4BA3CA3102B8D9E342B40F03FF1BDED377C.A7382123689ECCCB03F10E01E2A160A8F3B60B39&key=yt8&kind=asr&lang=vi&fmt=json3&xorb=2&xobt=3&xovt=3&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP""}"
"2025-04-20T04:28:02.947Z","fetch","{""url"":""//www.youtube.com/api/stats/qoe?fmt=397&afmt=251&cpn=Wu-jramVRbXBNLfz&el=shortspage&ns=yt&fexp=v1%2C23986027%2C18617%2C434717%2C60173%2C67153%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1563%2C8948%2C9224%2C13982%2C7703%2C1060%2C3156%2C3260%2C2%2C1900%2C2625%2C1628%2C1667%2C10510%2C292%2C2596%2C69%2C4461%2C3265%2C5940%2C111%2C814%2C1152%2C435%2C3031%2C935%2C4569%2C486%2C2339%2C295%2C2698%2C455%2C1839%2C1973%2C530%2C21%2C2484%2C770%2C87%2C1149&cl=748101193&seq=1&docid=kRbITY2ub1Q&ei=03cEaOKvGpGNg8UP3tmy6Ac&event=streamingstats&plid=AAYzLi1mP7TD4xX9&sdetail=p%3A%2F&sourceid=y&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&vps=0.000:N,0.018:B,0.069:B,0.069:B&cat=streaming,sabr&ctmp=esfw:usbc.1;hsu.1&cmt=0.018:0.000,0.069:0.000&cfs=0.058:a.vi:::s&afs=0.065:251;CggKA2RyYxIBMQ::i:CAEoAQ&vfs=0.069:397:788::r:CAEoAQ&view=0.069:231:411:2&bwm=0.069:732:0.052&bwe=0.069:435814&bat=0.069:1:1&vis=0.069:0&bh=0.069:0.000&qclc=ChBXdS1qcmFtVlJiWEJOTGZ6EAEaDENnSUlEQSUzRCUzRA""}"
"2025-04-20T04:28:03.758Z","xhr","{""method"":""GET"",""url"":""//www.youtube.com/api/stats/playback?ns=yt&el=shortspage&cpn=Wu-jramVRbXBNLfz&ver=2&cmt=0.017&fmt=397&fs=0&rt=0.88&euri=https%3A%2F%2Fwww.youtube.com%2Fshorts%2FkRbITY2ub1Q&lact=1801&cl=748101193&mos=0&volume=100&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&delay=4&hl=en_US&cr=IN&len=13.021&fexp=v1%2C23986027%2C18617%2C434717%2C60173%2C67153%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1563%2C8948%2C9224%2C13982%2C7703%2C1060%2C3156%2C3260%2C2%2C1900%2C2625%2C1628%2C1667%2C10510%2C292%2C2596%2C69%2C4461%2C3265%2C5940%2C111%2C814%2C1152%2C435%2C3031%2C935%2C4569%2C486%2C2339%2C295%2C2698%2C455%2C1839%2C1973%2C530%2C21%2C2484%2C770%2C87%2C1149&rtn=11&afmt=251&muted=0&cc=a.vi&docid=kRbITY2ub1Q&ei=03cEaOKvGpGNg8UP3tmy6Ac&plid=AAYzLi1mP7TD4xX9&referrer=https%3A%2F%2Fwww.youtube.com%2F&sdetail=p%3A%2F&sourceid=y&of=uz4x6wLXp5i84dSDpGK-vg&vm=CAEQABgEOjJBSHFpSlRKcVFlNlVVckF3TXRhbko5ZVREcUExZnBiSTNCQlA1bkhxTzh3Y19ydVpGZ2JYQUZVQTZSUUNsd3lMUDNzTm9wOVU5Mjg1eXJvRVJWaEtpZlRFUWxLdndsc3gwWUlBREJhRWFSTGk4c09RWlNEM3JPTzhPVWE0RlVHM2JUVmlFMEtlNzdYcg""}"
"2025-04-20T04:28:03.759Z","fetch","{""url"":""https://www.youtube.com/ptracking?html5=1&video_id=kRbITY2ub1Q&cpn=Wu-jramVRbXBNLfz&ei=03cEaOKvGpGNg8UP3tmy6Ac&ptk=youtube_single&oid=YSMZN6aBKWXZGrXIkxkOyQ&ptchn=MCMjTKUqJ1pUzmHnKrmiCA&pltype=content""}"
"2025-04-20T04:28:04.771Z","xhr","{""method"":""POST"",""url"":""/api/stats/atr?ns=yt&el=shortspage&cpn=Wu-jramVRbXBNLfz&ver=2&cmt=1.026&fmt=397&fs=0&rt=1.886&euri=https%3A%2F%2Fwww.youtube.com%2Fshorts%2FkRbITY2ub1Q&lact=2808&cl=748101193&mos=0&volume=100&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&delay=4&hl=en_US&cr=IN&len=13.021&fexp=v1%2C23986027%2C18617%2C434717%2C60173%2C67153%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1563%2C8948%2C9224%2C13982%2C7703%2C1060%2C3156%2C3260%2C2%2C1900%2C2625%2C1628%2C1667%2C10510%2C292%2C2596%2C69%2C4461%2C3265%2C5940%2C111%2C814%2C1152%2C435%2C3031%2C935%2C4569%2C486%2C2339%2C295%2C2698%2C455%2C1839%2C1973%2C530%2C21%2C2484%2C770%2C87%2C1149&afmt=251&muted=0&vis=3&cc=a.vi&docid=kRbITY2ub1Q&ei=03cEaOKvGpGNg8UP3tmy6Ac&plid=AAYzLi1mP7TD4xX9&vm=CAEQABgEOjJBSHFpSlRKcVFlNlVVckF3TXRhbko5ZVREcUExZnBiSTNCQlA1bkhxTzh3Y19ydVpGZ2JYQUZVQTZSUUNsd3lMUDNzTm9wOVU5Mjg1eXJvRVJWaEtpZlRFUWxLdndsc3gwWUlBREJhRWFSTGk4c09RWlNEM3JPTzhPVWE0RlVHM2JUVmlFMEtlNzdYcg""}"
"2025-04-20T04:28:04.904Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/home_cairo/v2/24px.svg""}"
"2025-04-20T04:28:04.907Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_cairo/v2/24px.svg""}"
"2025-04-20T04:28:04.907Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/youtube_shorts_arrow_up/v1/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/youtube_shorts_arrow_down/v1/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_message_bubble_right/v2/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_share/v2/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_thumb_up/v2/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/youtube_shorts_thumb_down/v2/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/thumb_down/v19/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://www.gstatic.com/youtube/img/icons/web/youtube_fill/shorts-pause/v1/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/volume_on/v3/24px.svg""}"
"2025-04-20T04:28:04.908Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/screen_full/v7/24px.svg""}"
"2025-04-20T04:28:07.930Z","fetch","{""url"":""https://www.youtube.com/pagead/viewthroughconversion/962985656/?backend=innertube&cname=1&cver=2_20250417&data=backend%3Dinnertube%3Bcname%3D1%3Bcver%3D2_20250417%3Bptype%3Df_view%3Btype%3Dview%3Butuid%3DMCMjTKUqJ1pUzmHnKrmiCA%3Butvid%3DkRbITY2ub1Q&foc_id=MCMjTKUqJ1pUzmHnKrmiCA&label=followon_view&ptype=f_view&random=73809761&utuid=MCMjTKUqJ1pUzmHnKrmiCA""}"
"2025-04-20T04:28:07.951Z","fetch","{""url"":{}}"
"2025-04-20T04:28:07.954Z","scroll","{""scrollY"":8}"
"2025-04-20T04:28:08.132Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_fill/play_arrow/v7/24px.svg""}"
"2025-04-20T04:28:08.132Z","fetch","{""url"":""https://fonts.gstatic.com/s/i/youtube_outline/menu_sort/v4/24px.svg""}"
"2025-04-20T04:28:08.132Z","fetch","{""url"":""https://www.gstatic.com/youtube/img/icons/web/youtube_outline/music/v1/24px.svg""}"
"2025-04-20T04:28:08.178Z","fetch","{""url"":{}}"
"2025-04-20T04:28:08.401Z","fetch","{""url"":""//www.youtube.com/api/stats/qoe?fmt=788&afmt=251&cpn=5MBKEfanB-BFUvjT&el=shortspage&ns=yt&fexp=v1%2C23986027%2C18617%2C434717%2C60173%2C67153%2C133212%2C14625955%2C11684381%2C53408%2C9105%2C18310%2C4420%2C2821%2C78212%2C8479%2C19339%2C18644%2C14869%2C47210%2C15124%2C65%2C13526%2C391%2C23871%2C2633%2C9252%2C3479%2C690%2C1829%2C1563%2C8948%2C9224%2C13982%2C7703%2C1060%2C3156%2C3260%2C2%2C1900%2C2625%2C1628%2C1667%2C10510%2C292%2C2596%2C69%2C4461%2C3265%2C5940%2C111%2C814%2C1152%2C435%2C3031%2C935%2C4569%2C486%2C2339%2C295%2C2698%2C455%2C1839%2C1973%2C530%2C21%2C2484%2C770%2C87%2C1149&cl=748101193&seq=1&docid=nFNesxHGxAU&ei=2HcEaPXZKc_Z1d8P7YPVgAc&event=streamingstats&plid=AAYzLi23Dy1WnxE_&sdetail=p%3A%2Fshorts%2FkRbITY2ub1Q&sourceid=y&cbr=Chrome&cbrver=135.0.0.0&c=WEB&cver=2.20250417.01.00&cplayer=UNIPLAYER&cos=Windows&cosver=10.0&cplatform=DESKTOP&vps=0.000:N,0.005:SU,0.226:SU&cat=prefetch,streaming&ctmp=esfw:usbc.1;hsu.1&cmt=0.005:0.000,0.226:0.000&afs=0.226:251;CggKA2RyYxIBMQ::i:CAIoAQ&vfs=0.226:788:398::r:CAIoAQ&view=0.226:315:560:2&bwm=0.226:706267:0.222&bwe=0.226:7870296&bat=0.226:1:1&vis=0.226:0&bh=0.226:0.000&qclc=ChA1TUJLRWZhbkItQkZVdmpUEAEaDENnSUlEQSUzRCUzRA""}"

Test Outcome: Passed
